v,time,rate
-200,23,20.00
-190,23,20.00
-180,23,20.00
-170,23,20.00
-160,23,20.00
-150,23,20.00
-140,23,20.00
-130,23,20.00
-120,23,20.00
-110,23,20.00
-100,23,20.00
-90,23,20.00
-80,23,20.00
-70,23,20.00
-60,23,20.00
-50,23,20.00
-40,23,20.00
-30,23,20.00
-20,23,20.00
-10,23,20.00
0,22,20.00
10,23,20.00
20,23,20.00
30,23,20.00
40,23,20.00
50,23,20.00
60,23,20.00
70,23,20.00
80,23,20.00
90,23,20.00
100,23,20.00
110,23,20.00
120,23,20.00
130,23,20.00
140,23,20.00
150,23,20.00
160,22,20.00
170,23,20.00
180,23,20.00
190,23,20.00
200,23,20.00
210,23,20.00
220,23,20.00
230,23,20.00
240,23,20.00
250,23,20.00
260,23,20.00
270,23,20.00
280,23,20.00
290,23,20.00
300,23,20.00
310,23,20.00
320,23,20.00
330,23,20.00
340,23,20.00
350,23,20.00
360,23,20.00
370,23,20.00
380,23,20.00
390,23,20.00
400,23,20.00
410,23,20.00
420,23,20.00
430,23,20.00
440,23,20.00
450,23,20.00
460,23,20.00
470,23,20.00
480,23,20.00
490,23,20.00
500,23,20.00
510,23,20.00
520,23,20.00
530,23,20.00
540,23,20.00
550,23,20.00
560,23,20.00
570,23,20.00
580,23,20.00
590,23,20.00
600,23,20.00
600,23,20.00
590,23,20.00
580,23,20.00
570,23,20.00
560,23,20.00
550,23,20.00
540,23,20.00
530,23,20.00
520,23,20.00
510,23,20.00
500,23,20.00
490,23,20.00
480,23,20.00
470,23,20.00
460,23,20.00
450,23,20.00
440,23,20.00
430,23,20.00
420,23,20.00
410,23,20.00
400,23,20.00
390,23,20.00
380,23,20.00
370,23,20.00
360,23,20.00
350,23,20.00
340,23,20.00
330,23,20.00
320,23,20.00
310,23,20.00
300,23,20.00
290,23,20.00
280,23,20.00
270,23,20.00
260,23,20.00
250,23,20.00
240,23,20.00
230,23,20.00
220,23,20.00
210,23,20.00
200,23,20.00
190,23,20.00
180,23,20.00
170,23,20.00
160,23,20.00
150,23,20.00
140,23,20.00
130,23,20.00
120,23,20.00
110,23,20.00
100,23,20.00
90,23,20.00
80,23,20.00
70,23,20.00
60,23,20.00
50,23,20.00
40,23,20.00
30,23,20.00
20,23,20.00
10,23,20.00
0,22,20.00
-10,23,20.00
-20,23,20.00
-30,23,20.00
-40,23,20.00
-50,23,20.00
-60,23,20.00
-70,23,20.00
-80,23,20.00
-90,23,20.00
-100,23,20.00
-110,23,20.00
-120,23,20.00
-130,23,20.00
-140,22,20.00
-150,23,20.00
-160,23,20.00
-170,23,20.00
-180,23,20.00
-190,23,20.00
-200,23,20.00
-200,24,20.00
-190,23,20.00
-180,23,20.00
-170,23,20.00
-160,23,20.00
-150,23,20.00
-140,23,20.00
-130,23,20.00
-120,23,20.00
-110,23,20.00
-100,23,20.00
-90,23,20.00
-80,23,20.00
-70,23,20.00
-60,23,20.00
-50,23,20.00
-40,23,20.00
-30,23,20.00
-20,23,20.00
-10,23,20.00
0,22,20.00
10,23,20.00
20,23,20.00
30,23,20.00
40,23,20.00
50,23,20.00
60,23,20.00
70,23,20.00
80,23,20.00
90,23,20.00
100,23,20.00
110,23,20.00
120,23,20.00
130,23,20.00
140,23,20.00
150,23,20.00
160,23,20.00
170,23,20.00
180,23,20.00
190,23,20.00
200,23,20.00
210,23,20.00
220,23,20.00
230,23,20.00
240,23,20.00
250,23,20.00
260,23,20.00
270,23,20.00
280,23,20.00
290,23,20.00
300,23,20.00
310,23,20.00
320,23,20.00
330,23,20.00
340,23,20.00
350,23,20.00
360,23,20.00
370,23,20.00
380,23,20.00
390,23,20.00
400,23,20.00
410,23,20.00
420,23,20.00
430,23,20.00
440,23,20.00
450,23,20.00
460,23,20.00
470,23,20.00
480,23,20.00
490,23,20.00
500,23,20.00
510,23,20.00
520,23,20.00
530,23,20.00
540,22,20.00
550,23,20.00
560,23,20.00
570,23,20.00
580,23,20.00
590,23,20.00
600,23,20.00
600,23,20.00
590,23,20.00
580,23,20.00
570,23,20.00
560,23,20.00
550,23,20.00
540,23,20.00
530,22,20.00
520,23,20.00
510,23,20.00
500,23,20.00
490,23,20.00
480,23,20.00
470,23,20.00
460,23,20.00
450,23,20.00
440,23,20.00
430,23,20.00
420,23,20.00
410,23,20.00
400,23,20.00
390,23,20.00
380,23,20.00
370,22,20.00
360,23,20.00
350,23,20.00
340,23,20.00
330,23,20.00
320,23,20.00
310,23,20.00
300,23,20.00
290,23,20.00
280,23,20.00
270,23,20.00
260,23,20.00
250,23,20.00
240,23,20.00
230,23,20.00
220,23,20.00
210,22,20.00
200,23,20.00
190,23,20.00
180,23,20.00
170,23,20.00
160,23,20.00
150,23,20.00
140,23,20.00
130,23,20.00
120,23,20.00
110,23,20.00
100,23,20.00
90,23,20.00
80,23,20.00
70,23,20.00
60,23,20.00
50,23,20.00
40,23,20.00
30,23,20.00
20,23,20.00
10,23,20.00
0,22,20.00
-10,23,20.00
-20,23,20.00
-30,23,20.00
-40,23,20.00
-50,23,20.00
-60,23,20.00
-70,23,20.00
-80,23,20.00
-90,23,20.00
-100,23,20.00
-110,23,20.00
-120,23,20.00
-130,23,20.00
-140,23,20.00
-150,23,20.00
-160,23,20.00
-170,23,20.00
-180,23,20.00
-190,23,20.00
-200,23,20.00
-200,24,20.00
-190,23,20.00
-180,23,20.00
-170,23,20.00
-160,23,20.00
-150,23,20.00
-140,23,20.00
-130,23,20.00
-120,23,20.00
-110,23,20.00
-100,23,20.00
-90,23,20.00
-80,23,20.00
-70,23,20.00
-60,23,20.00
-50,23,20.00
-40,24,20.00
-30,23,20.00
-20,23,20.00
-10,23,20.00
0,22,20.00
10,23,20.00
20,23,20.00
30,23,20.00
40,23,20.00
50,23,20.00
60,23,20.00
70,23,20.00
80,23,20.00
90,23,20.00
100,23,20.00
110,23,20.00
120,23,20.00
130,23,20.00
140,23,20.00
150,23,20.00
160,23,20.00
170,23,20.00
180,22,20.00
190,23,20.00
200,23,20.00
210,23,20.00
220,23,20.00
230,23,20.00
240,23,20.00
250,23,20.00
260,23,20.00
270,23,20.00
280,23,20.00
290,23,20.00
300,23,20.00
310,24,20.00
320,23,20.00
330,23,20.00
340,23,20.00
350,23,20.00
360,23,20.00
370,23,20.00
380,23,20.00
390,23,20.00
400,23,20.00
410,23,20.00
420,23,20.00
430,23,20.00
440,23,20.00
450,23,20.00
460,23,20.00
470,23,20.00
480,23,20.00
490,23,20.00
500,23,20.00
510,23,20.00
520,23,20.00
530,23,20.00
540,23,20.00
550,23,20.00
560,23,20.00
570,23,20.00
580,23,20.00
590,24,20.00
600,23,20.00
600,22,20.00
590,23,20.00
580,23,20.00
570,23,20.00
560,23,20.00
550,23,20.00
540,23,20.00
530,23,20.00
520,23,20.00
510,23,20.00
500,23,20.00
490,23,20.00
480,23,20.00
470,23,20.00
460,23,20.00
450,23,20.00
440,23,20.00
430,23,20.00
420,23,20.00
410,23,20.00
400,22,20.00
390,23,20.00
380,23,20.00
370,23,20.00
360,23,20.00
350,23,20.00
340,23,20.00
330,23,20.00
320,23,20.00
310,23,20.00
300,23,20.00
290,23,20.00
280,23,20.00
270,23,20.00
260,23,20.00
250,23,20.00
240,23,20.00
230,23,20.00
220,23,20.00
210,23,20.00
200,23,20.00
190,23,20.00
180,23,20.00
170,23,20.00
160,23,20.00
150,22,20.00
140,23,20.00
130,23,20.00
120,23,20.00
110,23,20.00
100,23,20.00
90,23,20.00
80,23,20.00
70,23,20.00
60,23,20.00
50,23,20.00
40,23,20.00
30,23,20.00
20,23,20.00
10,23,20.00
0,22,20.00
-10,23,20.00
-20,23,20.00
-30,22,20.00
-40,23,20.00
-50,23,20.00
-60,23,20.00
-70,23,20.00
-80,23,20.00
-90,23,20.00
-100,23,20.00
-110,23,20.00
-120,23,20.00
-130,23,20.00
-140,23,20.00
-150,23,20.00
-160,23,20.00
-170,23,20.00
-180,23,20.00
-190,23,20.00
-200,23,20.00
-200,23,20.00
-190,23,20.00
-180,23,20.00
-170,23,20.00
-160,23,20.00
-150,23,20.00
-140,23,20.00
-130,23,20.00
-120,23,20.00
-110,23,20.00
-100,23,20.00
-90,23,20.00
-80,23,20.00
-70,23,20.00
-60,23,20.00
-50,23,20.00
-40,23,20.00
-30,22,20.00
-20,23,20.00
-10,23,20.00
0,22,20.00
10,23,20.00
20,23,20.00
30,23,20.00
40,23,20.00
50,23,20.00
60,23,20.00
70,23,20.00
80,23,20.00
90,23,20.00
100,23,20.00
110,23,20.00
120,23,20.00
130,23,20.00
140,23,20.00
150,23,20.00
160,23,20.00
170,23,20.00
180,23,20.00
190,23,20.00
200,23,20.00
210,23,20.00
220,23,20.00
230,23,20.00
240,23,20.00
250,23,20.00
260,23,20.00
270,23,20.00
280,23,20.00
290,23,20.00
300,23,20.00
310,23,20.00
320,23,20.00
330,23,20.00
340,23,20.00
350,23,20.00
360,23,20.00
370,23,20.00
380,23,20.00
390,23,20.00
400,23,20.00
410,23,20.00
420,23,20.00
430,23,20.00
440,23,20.00
450,23,20.00
460,23,20.00
470,23,20.00
480,23,20.00
490,23,20.00
500,23,20.00
510,23,20.00
520,23,20.00
530,23,20.00
540,23,20.00
550,23,20.00
560,23,20.00
570,23,20.00
580,23,20.00
590,23,20.00
600,23,20.00
600,23,20.00
590,23,20.00
580,23,20.00
570,23,20.00
560,23,20.00
550,23,20.00
540,23,20.00
530,23,20.00
520,23,20.00
510,23,20.00
500,23,20.00
490,23,20.00
480,23,20.00
470,23,20.00
460,23,20.00
450,23,20.00
440,23,20.00
430,23,20.00
420,23,20.00
410,23,20.00
400,23,20.00
390,23,20.00
380,23,20.00
370,23,20.00
360,23,20.00
350,23,20.00
340,23,20.00
330,23,20.00
320,23,20.00
310,22,20.00
300,23,20.00
290,23,20.00
280,23,20.00
270,23,20.00
260,23,20.00
250,23,20.00
240,23,20.00
230,23,20.00
220,23,20.00
210,23,20.00
200,23,20.00
190,23,20.00
180,23,20.00
170,23,20.00
160,23,20.00
150,23,20.00
140,23,20.00
130,23,20.00
120,23,20.00
110,23,20.00
100,23,20.00
90,23,20.00
80,23,20.00
70,23,20.00
60,23,20.00
50,23,20.00
40,23,20.00
30,23,20.00
20,23,20.00
10,23,20.00
0,22,20.00
-10,23,20.00
-20,23,20.00
-30,23,20.00
-40,23,20.00
-50,23,20.00
-60,23,20.00
-70,23,20.00
-80,23,20.00
-90,23,20.00
-100,23,20.00
-110,23,20.00
-120,23,20.00
-130,23,20.00
-140,23,20.00
-150,23,20.00
-160,23,20.00
-170,24,20.00
-180,23,20.00
-190,23,20.00
-200,23,20.00
-200,23,20.00
-190,22,20.00
-180,23,20.00
-170,23,20.00
-160,23,20.00
-150,23,20.00
-140,23,20.00
-130,23,20.00
-120,23,20.00
-110,23,20.00
-100,23,20.00
-90,23,20.00
-80,23,20.00
-70,24,20.00
-60,23,20.00
-50,23,20.00
-40,22,20.00
-30,23,20.00
-20,23,20.00
-10,23,20.00
0,22,20.00
10,23,20.00
20,23,20.00
30,23,20.00
40,23,20.00
50,23,20.00
60,23,20.00
70,23,20.00
80,23,20.00
90,23,20.00
100,23,20.00
110,23,20.00
120,23,20.00
130,23,20.00
140,24,20.00
150,23,20.00
160,23,20.00
170,23,20.00
180,23,20.00
190,23,20.00
200,23,20.00
210,23,20.00
220,23,20.00
230,23,20.00
240,23,20.00
250,23,20.00
260,23,20.00
270,23,20.00
280,23,20.00
290,23,20.00
300,23,20.00
310,23,20.00
320,23,20.00
330,23,20.00
340,23,20.00
350,23,20.00
360,23,20.00
370,23,20.00
380,23,20.00
390,23,20.00
400,23,20.00
410,23,20.00
420,23,20.00
430,23,20.00
440,23,20.00
450,23,20.00
460,23,20.00
470,23,20.00
480,23,20.00
490,23,20.00
500,22,20.00
510,23,20.00
520,23,20.00
530,23,20.00
540,23,20.00
550,23,20.00
560,23,20.00
570,23,20.00
580,23,20.00
590,23,20.00
600,23,20.00
600,23,20.00
590,23,20.00
580,23,20.00
570,23,20.00
560,23,20.00
550,23,20.00
540,23,20.00
530,23,20.00
520,23,20.00
510,23,20.00
500,23,20.00
490,23,20.00
480,23,20.00
470,23,20.00
460,23,20.00
450,23,20.00
440,23,20.00
430,23,20.00
420,23,20.00
410,23,20.00
400,23,20.00
390,23,20.00
380,23,20.00
370,23,20.00
360,23,20.00
350,23,20.00
340,23,20.00
330,23,20.00
320,23,20.00
310,23,20.00
300,23,20.00
290,23,20.00
280,23,20.00
270,23,20.00
260,23,20.00
250,23,20.00
240,23,20.00
230,23,20.00
220,23,20.00
210,23,20.00
200,23,20.00
190,23,20.00
180,23,20.00
170,23,20.00
160,23,20.00
150,23,20.00
140,23,20.00
130,23,20.00
120,23,20.00
110,23,20.00
100,23,20.00
90,23,20.00
80,23,20.00
70,23,20.00
60,23,20.00
50,23,20.00
40,23,20.00
30,23,20.00
20,23,20.00
10,23,20.00
0,22,20.00
-10,23,20.00
-20,23,20.00
-30,23,20.00
-40,23,20.00
-50,23,20.00
-60,23,20.00
-70,23,20.00
-80,23,20.00
-90,23,20.00
-100,23,20.00
-110,23,20.00
-120,23,20.00
-130,23,20.00
-140,23,20.00
-150,23,20.00
-160,23,20.00
-170,23,20.00
-180,23,20.00
-190,23,20.00
-200,23,20.00
